nameCity,nameCountry,latitudeCity,longitudeCity
Butembo,Democratic Republic of the Congo,0.114047,29.3018011
Неготино,Macedonia,41.0377245,21.3300873
Brzeszcze,Poland,49.966515,19.177858
Tongjiang,China,47.642707,132.510919
Billdal,Sweden,57.5901299,11.9313139
Corona,United States,33.8781886,-117.5731991
Beilun,China,29.899044,121.844618
Kasserine,Tunisia,35.0809148,8.6600586
Panjakent,Tajikistan,39.3547141,67.8569785
Dingcheng,China,39.928353,116.416357
Wintzenheim,France,48.0684339,7.3273853
Valencia,Venezuela,10.1579312,-67.9972104
San Cristóbal Verapaz,Guatemala,15.3657777,-90.4792939
Mao,Dominican Republic,19.5403533,-71.0790048
Kadubera,Indonesia,-6.4594857,105.9141793
Sumberkertokrajan,Indonesia,-8.237963,112.5513677
Molsheim,France,48.5372073,7.5002842
Fatubia,Indonesia,-6.3904294,107.1733193
Opočno,Czech Republic,50.2609615,16.101507
Żyraków,Poland,50.0919002,21.3924958
Cáceres,Colombia,7.579029,-75.349545
Roseau,Dominica,15.3091676,-61.3793554
Janja,Bosnia and Herzegovina,44.666926,19.2469148
Zwolle,Netherlands,52.5470847,6.0237938
Svoge,Bulgaria,43.0007361,23.341193
Maia,Portugal,37.8307393,-25.3919027
Hexi,China,39.109563,117.223371
Rumenka,Serbia,45.3125176,19.7556505
Esquina,Argentina,-34.6161437,-58.5238406
Lugait,Philippines,8.3345712,124.2510844
Zelenoborskiy,Russia,66.870387,32.3919624
Kizlyar,Russia,59.902198,30.337848
Andrijevica,Montenegro,42.7362477,19.7859556
Xinghua,China,32.910459,119.85254
Ballymun,Ireland,53.3897152,-6.264963
Shuikou,China,26.319938,113.810157
Ipirá,Brazil,-12.1880654,-39.734338
Biscoitos,Portugal,38.6152027,-28.0339781
Verkh-Usugli,Russia,52.6886817,115.1891675
Sincé,Colombia,9.2633053,-75.1927805
Tuanshan,China,33.195993,105.606648
Madīnat Sittah Uktūbar,Egypt,29.9588757,30.9006905
Molchanovo,Russia,57.586388,83.771275
Ra-ngae,Thailand,6.2958736,101.7296049
Alor Setar,Malaysia,6.1244023,100.3674801
Mongu,Zambia,-15.2735504,23.1501117
Jixian,China,40.04606,117.408306
Des Moines,United States,41.6,-93.61
Pyrzyce,Poland,53.1460852,14.8924044
Węgliniec,Poland,51.2879708,15.2299326
Kallinge,Sweden,56.2270517,15.3137401
Yala,Thailand,6.5411018,101.2804075
Uiasa,Indonesia,-10.1508133,123.4551696
Beauvais,France,49.4263976,2.0887457
Callao,Peru,-12.0508491,-77.1259843
Stockholm,Sweden,47.0163969,-68.1430029
Gal’bshtadt,Russia,53.2264,78.9845
Yukou,China,37.942488,110.525111
Anhua Daying,China,24.414825,102.665768
Erechim,Brazil,-27.6849439,-52.2337184
Buka,Indonesia,-8.681402,115.1957203
Ust’-Koksa,Russia,50.270819,85.613152
Taza,Morocco,34.2105603,-3.9980485
Dūst Moḩammad Khān,Iran,31.1447,61.7925
Calheta,Cape Verde,15.229571,-23.2141352
Buerarema,Brazil,-15.0144051,-39.299866
Luntas,Indonesia,-8.1130067,112.0304508
Henghe,China,29.756501,121.507191
Springfield,United States,42.1144473,-72.4909026
Trat,Thailand,12.0310173,102.2928163
Kourou,French Guiana,5.1677581,-52.6449937
Raniżów,Poland,50.2709514,22.0218252
Kalinovo,Russia,57.131667,60.146389
Ning’an,China,44.34072,129.4828511
Bago City,Philippines,10.5712156,122.944471
Cầu Gồ,Vietnam,21.4761084,106.12575
Neyagawa,Japan,34.771214,135.606399
Independencia,Mexico,31.6749725,-106.4181775
Zarzal,Colombia,4.2886233,-76.0623979
Changjiang,China,30.5211502,112.8915932
Troparëvo,Russia,55.6558059,37.4793238
Zhenlai,China,45.847435,123.1998901
Juncheng,China,35.026516,111.00746
Kuryłówka,Poland,50.3068281,22.5169584
Dapuchaihe,China,42.884784,128.033416
Sandnes,Norway,58.848193,5.66466
Bouaké,Ivory Coast,7.690466,-5.0390536
Ajaccio,France,46.6473105,0.813275
Pārūn,Afghanistan,35.3170344,70.8744255
Buenavista,Mexico,16.7646627,-93.1569465
Sioux City,United States,42.5069391,-96.3598367
Zliten,Libya,32.2785242,14.5189214
Xinghua,China,32.910459,119.85254
Duekoué,Ivory Coast,6.7473801,-7.3624598
Margacina,Indonesia,-7.1282614,108.6591293
Urbano Noris,Cuba,20.5849821,-76.2247366
Paritaman,Indonesia,-0.6256517,100.1233396
Shāhzādpur,Bangladesh,24.1933092,89.573856
Brampton,United Kingdom,52.382748,1.580316
Gondang,Indonesia,-7.4417327,111.1056539
Listvyanskiy,Russia,54.4413911,83.4937253
Načeradec,Czech Republic,49.6101863,14.9063338
Zaña,Peru,-6.90821,-79.5772008
Símantra,Greece,40.3459138,23.3097061
Ksour Essaf,Tunisia,35.4175712,10.997658
Choma,Zambia,-16.8054223,26.9970153
Bergem,Luxembourg,49.5206119,6.0453754
Megati Kelod,Indonesia,-8.498277,115.0550008
Ta‘izz,Yemen,13.5775886,44.0177989
Narutō,Japan,35.6083867,140.410859
Liuji,China,32.460037,112.228897
Imbituba,Brazil,-28.2446355,-48.6764133
Mahābād,Iran,36.7683527,45.7337091
Minakuchi,Japan,37.0897128,138.1339233
Lębork,Poland,54.5343125,17.7510347
Rennes,France,47.9434065,-1.235807
Luleå,Sweden,67.1355975,20.6859936
Ylihärmä,Finland,63.1454739,22.7948195
Ngeni,Indonesia,-8.2463454,112.2085959
Kediri,Indonesia,-7.8480156,112.0178286
Vitória,Brazil,-20.2976178,-40.2957768
Keleng,Indonesia,-7.590458,109.1077389
Paris 19,France,48.8858655,2.3839746
Novaya Chigla,Russia,51.2221617,40.4794612
