marca,modelo,sistema,lanzamiento
Infinix,Infinix Zero 6,Android 8.0,2019
Sagem,Sagem myW-7,Feature phone,2006
Motorola,Motorola EM25,Feature phone,2009
ZTE,ZTE Grand S II S291,Android 4.3,2014
Motorola,Motorola A388c,Feature phone,2003
Xiaomi,Xiaomi Black Shark 2 Pro,Android 9.0,2019
Celkon,Celkon A225,Android 4.1,2013
vivo,vivo Y93,"Android 8.1, Funtouch 4.5",2018
BenQ-Siemens,BenQ-Siemens EF51,Feature phone,2006
Samsung,Samsung Galaxy A7 (2017),"Android 6.0.1, up to Android 8.0",2017
Panasonic,Panasonic Eluga C,Android 7.0,2017
alcatel,alcatel OT-E256,Feature phone,2005
Celkon,Celkon A112,Android 4.2.0,2013
Celkon,Celkon C64,Feature phone,2013
Philips,Philips X650,Feature phone,2009
Oppo,Oppo R7 Plus,"Android 5.1.1, ColorOS 2.1",2015
Samsung,Samsung D520,Feature phone,2006
Nokia,Nokia 150,Feature phone,2017
Intex,Intex Aqua Power,Android 4.4.2,2014
Samsung,Samsung N500,Feature phone,2002
TCL,TCL 10 TabMid,"Android 10, TCL UI",2021
Kyocera,Kyocera Milano C5121,Android 2.3,2011
Huawei,Huawei T552,Feature phone,2009
BlackBerry,BlackBerry Porsche Design P'9531,BlackBerry OS 7.0,0
Nokia,Nokia 7370,Feature phone,2005
Oppo,Oppo R819,Android 4.2.1,2013
ZTE,ZTE Light Tab V9C,"Android 2.1, up to 2.2",2011
BLU,BLU Samba Q,Feature phone,2011
Oppo,Oppo RX17 Pro,"Android 8.1, up to Android 10, ColorOS 7.0",2018
BLU,BLU Studio 7.0 II,Android 5.0,2015
Asus,Asus Zenfone 3s Max ZC521TL,"Android 7, ZenUI 3",2017
Samsung,Samsung D510,Feature phone,2005
LG,LG Harmony,Android 7.0,2017
Samsung,Samsung Galaxy Nexus i515,"Android 4.0, up to 4.2.2",2011
Celkon,Celkon A1,Android 2.2.1,2011
Samsung,Samsung A110,Feature phone,2000
Asus,Asus Zenfone Go ZB452KG,Android 5.1,2016
O2,O2 XDA Orbit,Microsoft Windows Mobile 5.0 PocketPC,2006
Samsung,Samsung Galaxy Tab 8.9 LTE I957,Android 3.2,2011
Samsung,Samsung ATIV SE,"Microsoft Windows Phone 8, up to 8.1",2014
Celkon,Celkon CT 1,Android 4.0.4,2012
Samsung,Samsung Galaxy A8 (2018),"Android 7.1.1, up to Android 9.0, One UI",2018
alcatel,alcatel OT-C550,Feature phone,2006
BLU,BLU Kick,Feature phone,2010
Gigabyte,Gigabyte GSmart G1342 Houston,Android 4.0,2011
BLU,BLU Advance 4.0,Android 4.2,2013
Unnecto,Unnecto Air 5.0,Android 4.4.2,2015
Vertu,Vertu Aster,Android 4.4.2,2014
Xiaomi,Xiaomi Mi Pad 4 Plus,"Android 8.1, MIUI 10",2018
Nokia,Nokia 2700 classic,Feature phone,2009
